Pos,Unnamed: 1,Player,Total,Thru,Round,R1,R2,R3,R4,tournament_name,tournament_id
CUT,-,Keith Mitchell,-2,-,0,71,71,0,0,Farmers Insurance Open,R2024004
CUT,-,Cameron Champ,-2,-,0,75,67,0,0,Farmers Insurance Open,R2024004
CUT,-,David Skinns,-2,-,0,73,69,0,0,Farmers Insurance Open,R2024004
CUT,-,Norman Xiong,-2,-,0,72,70,0,0,Farmers Insurance Open,R2024004
CUT,-,Adam Long,-2,-,0,72,70,0,0,Farmers Insurance Open,R2024004
CUT,-,Chan Kim,-2,-,0,76,66,0,0,Farmers Insurance Open,R2024004
CUT,-,Harry Hall,-1,-,0,75,68,0,0,Farmers Insurance Open,R2024004
CUT,-,Sam Ryder,-1,-,0,71,72,0,0,Farmers Insurance Open,R2024004
CUT,-,Jhonattan Vegas,-1,-,0,78,65,0,0,Farmers Insurance Open,R2024004
CUT,-,Ben Griffin,-1,-,0,72,71,0,0,Farmers Insurance Open,R2024004
CUT,-,Pierceson Coody,-1,-,0,72,71,0,0,Farmers Insurance Open,R2024004
CUT,-,Ryan McCormick,-1,-,0,73,70,0,0,Farmers Insurance Open,R2024004
CUT,-,Ryan Fox,-1,-,0,70,73,0,0,Farmers Insurance Open,R2024004
CUT,-,Will Gordon,-1,-,0,72,71,0,0,Farmers Insurance Open,R2024004
CUT,-,Roger Sloan,-1,-,0,71,72,0,0,Farmers Insurance Open,R2024004
CUT,-,Matt Wallace,-1,-,0,73,70,0,0,Farmers Insurance Open,R2024004
CUT,-,Tyler Duncan,0,-,0,75,69,0,0,Farmers Insurance Open,R2024004
CUT,-,David Lipsky,0,-,0,73,71,0,0,Farmers Insurance Open,R2024004
CUT,-,Matt NeSmith,0,-,0,67,77,0,0,Farmers Insurance Open,R2024004
CUT,-,Hayden Buckley,0,-,0,73,71,0,0,Farmers Insurance Open,R2024004
CUT,-,Seamus Power,0,-,0,74,70,0,0,Farmers Insurance Open,R2024004
CUT,-,"Blaine Hale, Jr.",0,-,0,74,70,0,0,Farmers Insurance Open,R2024004
CUT,-,Victor Perez,0,-,0,71,73,0,0,Farmers Insurance Open,R2024004
CUT,-,Mac Meissner,0,-,0,74,70,0,0,Farmers Insurance Open,R2024004
CUT,-,Paul Barjon,+1,-,0,70,75,0,0,Farmers Insurance Open,R2024004
CUT,-,Billy Horschel,+1,-,0,74,71,0,0,Farmers Insurance Open,R2024004
CUT,-,Michael Block,+1,-,0,69,76,0,0,Farmers Insurance Open,R2024004
CUT,-,Joel Dahmen,+1,-,0,76,69,0,0,Farmers Insurance Open,R2024004
CUT,-,Jason Day,+1,-,0,74,71,0,0,Farmers Insurance Open,R2024004
CUT,-,Wilson Furr,+1,-,0,70,75,0,0,Farmers Insurance Open,R2024004
CUT,-,Scott Gutschewski,+1,-,0,73,72,0,0,Farmers Insurance Open,R2024004
CUT,-,Carl Yuan,+1,-,0,73,72,0,0,Farmers Insurance Open,R2024004
CUT,-,Ryan Moore,+1,-,0,72,73,0,0,Farmers Insurance Open,R2024004
CUT,-,Matti Schmid,+1,-,0,75,70,0,0,Farmers Insurance Open,R2024004
CUT,-,Chez Reavie,+1,-,0,74,71,0,0,Farmers Insurance Open,R2024004
CUT,-,Marcus Byrd,+1,-,0,68,77,0,0,Farmers Insurance Open,R2024004
CUT,-,Rico Hoey,+1,-,0,68,77,0,0,Farmers Insurance Open,R2024004
CUT,-,Patrick Fishburn,+1,-,0,72,73,0,0,Farmers Insurance Open,R2024004
CUT,-,K.H. Lee,+2,-,0,71,75,0,0,Farmers Insurance Open,R2024004
CUT,-,Nicholas Lindheim,+2,-,0,73,73,0,0,Farmers Insurance Open,R2024004
CUT,-,Alex Chiarella,+2,-,0,72,74,0,0,Farmers Insurance Open,R2024004
CUT,-,Callum Tarren,+2,-,0,73,73,0,0,Farmers Insurance Open,R2024004
CUT,-,Harrison Endycott,+2,-,0,72,74,0,0,Farmers Insurance Open,R2024004
CUT,-,Chad Hambright,+2,-,0,72,74,0,0,Farmers Insurance Open,R2024004
CUT,-,Troy Merritt,+3,-,0,70,77,0,0,Farmers Insurance Open,R2024004
CUT,-,J.B. Holmes,+3,-,0,73,74,0,0,Farmers Insurance Open,R2024004
CUT,-,Davis Riley,+3,-,0,73,74,0,0,Farmers Insurance Open,R2024004
CUT,-,Raul Pereda,+3,-,0,73,74,0,0,Farmers Insurance Open,R2024004
CUT,-,Eric Cole,+4,-,0,74,74,0,0,Farmers Insurance Open,R2024004
CUT,-,Ben Kohles,+4,-,0,71,77,0,0,Farmers Insurance Open,R2024004
CUT,-,Robert MacIntyre,+4,-,0,78,70,0,0,Farmers Insurance Open,R2024004
