year,tournament_id,tournament_name,execution_time,player_id,first_name,last_name,display_name,status,owgr
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,50493,Justin,Suh,"Suh, Justin",IN,89
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,40115,Adam,Svensson,"Svensson, Adam",IN,62
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,48699,Callum,Tarren,"Tarren, Callum",IN,168
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,48119,Ben,Taylor,"Taylor, Ben",IN,175
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,25493,Nick,Taylor,"Taylor, Nick",IN,55
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,51634,Sahith,Theegala,"Theegala, Sahith",IN,22
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,33448,Justin,Thomas,"Thomas, Justin",IN,19
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,58168,Davis,Thompson,"Thompson, Davis",IN,124
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,30927,Brendon,Todd,"Todd, Brendon",IN,63
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,52666,Sami,Valimaki,"Valimaki, Sami",IN,110
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,40006,Erik,van Rooyen,"van Rooyen, Erik",IN,79
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,27064,Jhonattan,Vegas,"Vegas, Jhonattan",IN,515
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,27770,Camilo,Villegas,"Villegas, Camilo",IN,146
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,48887,Matt,Wallace,"Wallace, Matt",IN,80
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,51894,Vince,Whaley,"Whaley, Vince",IN,214
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,31323,Gary,Woodland,"Woodland, Gary",IN,111
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,52374,Brandon,Wu,"Wu, Brandon",IN,116
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,54783,Dylan,Wu,"Wu, Dylan",IN,171
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,57366,Cameron,Young,"Young, Cameron",IN,24
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,52513,Carson,Young,"Young, Carson",IN,181
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,45242,Kevin,Yu,"Yu, Kevin",IN,113
2024,R2024003,WM Phoenix Open,2024-02-06 21:34:35.804990,55454,Carl,Yuan,"Yuan, Carl",IN,142
